"","sample","probe","value","type"
"140","TCGA-OR-A5KY-01","ImmuneScore.estimate",-596.326463030602,"estimate"
"141","TCGA-OR-A5KY-01","ESTIMATEScore.estimate",-1191.55196883409,"estimate"
"142","TCGA-OR-A5KZ-01","StromalScore.estimate",-595.003813323725,"estimate"
"143","TCGA-OR-A5KZ-01","ImmuneScore.estimate",-659.884055359854,"estimate"
"144","TCGA-OR-A5KZ-01","ESTIMATEScore.estimate",-1254.88786868358,"estimate"
"145","TCGA-OR-A5L3-01","StromalScore.estimate",-1215.48979527533,"estimate"
"146","TCGA-OR-A5L3-01","ImmuneScore.estimate",-693.810246697614,"estimate"
"147","TCGA-OR-A5L3-01","ESTIMATEScore.estimate",-1909.30004197295,"estimate"
"148","TCGA-OR-A5L4-01","StromalScore.estimate",-619.037451758012,"estimate"
"149","TCGA-OR-A5L4-01","ImmuneScore.estimate",-581.212610601126,"estimate"
"150","TCGA-OR-A5L4-01","ESTIMATEScore.estimate",-1200.25006235914,"estimate"
"151","TCGA-OR-A5L5-01","StromalScore.estimate",-90.9099369249177,"estimate"
"152","TCGA-OR-A5L5-01","ImmuneScore.estimate",128.531242968032,"estimate"
"153","TCGA-OR-A5L5-01","ESTIMATEScore.estimate",37.6213060431144,"estimate"
"154","TCGA-OR-A5L6-01","StromalScore.estimate",-926.092587570272,"estimate"
"155","TCGA-OR-A5L6-01","ImmuneScore.estimate",-225.639810503836,"estimate"
"156","TCGA-OR-A5L6-01","ESTIMATEScore.estimate",-1151.73239807411,"estimate"
"157","TCGA-OR-A5L8-01","StromalScore.estimate",-955.482659290635,"estimate"
"158","TCGA-OR-A5L8-01","ImmuneScore.estimate",-1377.75566755549,"estimate"
"159","TCGA-OR-A5L8-01","ESTIMATEScore.estimate",-2333.23832684612,"estimate"
"160","TCGA-OR-A5L9-01","StromalScore.estimate",-289.28062102089,"estimate"
"161","TCGA-OR-A5L9-01","ImmuneScore.estimate",430.558099813696,"estimate"
"162","TCGA-OR-A5L9-01","ESTIMATEScore.estimate",141.277478792806,"estimate"
"163","TCGA-OR-A5LA-01","StromalScore.estimate",-135.322295931727,"estimate"
